"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-01",,,"0.33",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-02",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-03",,,"0.00",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-04",,,"0.20",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-05",,,"0.00",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-06",,,"0.16",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-07",,,"0.00",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-08",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-09",,,"0.04",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-13","    4","0.09",,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-14",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-15",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-16",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-17",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-01-18",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-01","   14","3.15",,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-02",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-03",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-04",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-05",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-06",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-07",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-08",,,"0.00",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-17",,,"0.19",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-18",,,"0.42",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-02-21",,,"0.10",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-02","    8","0.48",,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-03",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-04",,,"1.15",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-05",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-06",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-07",,,"0.03",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-08",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-09",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-10",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-11",,,"0.35",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-21","    9","0.07",,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-22",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-23",,,"0.17",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-24",,,"0.17",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-03-25",,,"0.17",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-04-16",,,"0.53",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-04-23",,,"0.80",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-04-27",,,"0.23",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-04-29",,,"1.84",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-04-30",,,"0.10",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-01",,,"2.18",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-02",,,"0.07",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-11","    9","0.45",,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-13",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-14",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-15",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-16",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-17",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-18",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-19",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-20",,,"0.02",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-21",,,"0.58",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-22",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-23",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-24",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-25",,,"0.02",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-26",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-27",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-28",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-29",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-30",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-05-31",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-01",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-02",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-03",,,"0.03",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-04",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-16",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-17",,,"0.62",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-26",,,"0.32",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-27",,,"1.98",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-06-28",,,"1.17",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-03",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-04",,,"0.02",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-05",,,"0.07",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-06",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-07",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-09",,,"0.14",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-10",,,"0.87",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-11",,,"0.04",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-25","   14","3.99",,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-26",,,"0.38",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-27",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-29",,,"0.15",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-30",,,"0.29",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-07-31",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-04",,,"0.00",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-07",,,"0.55",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-17","    8","1.20",,,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-18",,,"0.35",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-21",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-22",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-23",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-24",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-25",,,"0.24",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-26",,,"0.41",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-27",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-28",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-29",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-08-30",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-11",,,"1.56",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-12",,,"0.40",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-13",,,"0.24",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-14",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-15",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-16",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-17",,,"0.00","0.0",,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-18",,,"0.90",,,,,,,,,,,,,
"US1PABK0018","LANGHORNE 2.8 NE, PA US","2023-09-29","   11","3.75",,,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-01",,,"0.22",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-02",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-03",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-04",,,"0.03",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-05",,,"0.02",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-06",,,"0.25",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-07",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-08",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-09",,,"0.06",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-10",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-11",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-12",,,"0.02",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-13",,,"0.19",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-14",,,"0.00",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-15",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-16",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-17",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-18",,,"0.01",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-20","    2","0.85",,,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-21",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-22",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-23",,,"0.56",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-24",,,"0.18",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-25",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-26",,,"0.83",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-27",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-28",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-30",,,"0.01",,,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-01-31",,,"0.00","0.0",,,,,,,,,,,,
"US1NJBT0079","MEDFORD TWP 1.5 WSW, NJ US","2023-02-01",,,"0.07","0.3",,,,,,,,,,,,
