OBJECTID,GEOID10,NAME10,N_VERYHIGH,YEAR,HSI_SCORE,HEI_SCORE,HVI_SCORE,Shape__Area,Shape__Length
1,42101019000,190,0,2023,0.42896418,0.13028867,0.81180068,1350244.21875,5483.87473387171
2,42101019100,191,0,2023,1.44991395,2.20844908,1.44719978,2491484.7890625,7728.47075014006
3,42101019200,192,0,2023,3.69901212,1.70516711,3.06055838,1120759.42578125,5638.1481818065
4,42101019700,197,1,2023,6.63024907,2.76352581,5.06828282,768830.20703125,3791.74418903775
5,42101019800,198,1,2023,8.35759798,2.54929414,6.14958263,923440.6796875,4189.5178383324
6,42101019900,199,1,2023,7.47771338,2.80774432,5.44763124,1129508.2421875,4314.96256694531
7,42101020000,200,1,2023,9.65433588,-0.35485364,6.83660642,540305.859375,4048.13261115754
8,42101020200,202,1,2023,9.29013165,0.70113927,6.26712813,1291571.7734375,5104.43391016897
9,42101020300,203,1,2023,9.01513067,1.36307213,6.31553839,867222.25390625,5262.76004869772
10,42101020400,204,0,2023,6.1834705,1.29694825,4.387879,695455.90625,3715.32612290067
11,42101020500,205,1,2023,7.44190205,2.00178719,5.193561,2439908.4140625,6895.62367753543
12,42101002500,25,0,2023,-4.97923531,-1.17373777,-3.42750964,678879.6484375,3420.36199145849
13,42101002900,29,0,2023,-6.20002598,-0.52309164,-3.86799758,630349.109375,3759.95127192938
14,42101003100,31,0,2023,2.40569224,-0.090013,1.92836717,674166.73046875,3296.37047078166
15,42101005000,50,0,2023,,,,13955531.7539063,19078.6996228956
16,42101005400,54,0,2023,1.15288381,-0.13807682,-0.13232393,4068454.5546875,9787.62534631282
17,42101005500,55,0,2023,1.11547862,-0.28463935,0.3286635,2008105.97265625,8110.38501696759
18,42101005600,56,0,2023,6.79278591,-0.87117252,3.99302754,1429776.0546875,4686.59175741228
19,42101006000,60,0,2023,5.37028054,0.49120677,3.4491287,1858494.25390625,5650.72961826321
20,42101006100,61,0,2023,2.69914964,0.67077349,1.69894745,897740.75,4079.00349950751
21,42101006200,62,0,2023,4.49332675,-1.14663135,3.11958731,867390.75,3761.392875698
22,42101006300,63,0,2023,5.68261492,1.04080244,3.77470859,945839.53515625,4622.23364200879
23,42101010000,100,0,2023,3.18045089,-0.34144315,2.22400279,847363.26171875,4340.68729780935
24,42101010100,101,0,2023,3.67840006,-0.27945904,2.66975818,1025320.43359375,4126.77529232815
25,42101010200,102,1,2023,8.97061086,1.05096345,6.23263336,614691.11328125,3212.65961893169
26,42101010300,103,0,2023,5.97105533,0.16352973,4.15238754,479455.8515625,3111.36730615815
27,42101010400,104,1,2023,8.16801877,1.48073848,5.50361611,806354.890625,4269.75772110373
28,42101010500,105,1,2023,12.17763897,4.44473772,8.16633932,1121039.54296875,5393.73005368987
29,42101010600,106,1,2023,8.79722989,2.83967899,5.855747,452442.94921875,3150.92247206559
30,42101010700,107,1,2023,8.26701533,0.52280538,5.54068649,784907.42578125,4049.59322015056
31,42101010800,108,0,2023,6.18840548,0.68745838,4.00375609,998249.38671875,4921.31150413629
32,42101010900,109,0,2023,5.76739832,0.00360731,3.86573953,422949.48828125,2769.32126643098
33,42101011000,110,1,2023,9.30836101,1.88498973,6.14588755,806161.359375,4411.08595343312
34,42101011100,111,0,2023,6.75302443,0.17145418,4.55289406,2218687.7421875,6751.45502903193
35,42101011200,112,0,2023,4.96056384,-0.00587793,3.56234585,857810.671875,3710.62350915926
36,42101011300,113,0,2023,4.82835374,0.72562932,3.4473866,571021.8515625,3196.59220759814
37,42101011400,114,0,2023,4.02266192,0.05013526,2.64533468,1658933.58203125,5544.26502659636
38,42101015700,157,0,2023,-2.88190386,-0.28890054,-1.65742845,827279.45703125,3734.87347329397
39,42101015800,158,0,2023,-9.88573765,-1.77470502,-6.43915309,989080.765625,4186.20336489578
40,42101016000,160,0,2023,-8.7465971,-1.12615626,-5.63139428,1229118.2890625,4440.0008964416
41,42101016100,161,0,2023,-2.54120969,-0.59210764,-1.51715542,1206658.24609375,4596.32855655079
42,42101016200,162,1,2023,8.50329972,2.46011769,5.67834684,622401.08203125,3719.00690409361
43,42101016300,163,1,2023,8.95607266,4.04357543,6.15582963,975885.328125,4326.89418710351
44,42101016400,164,1,2023,7.49716517,3.18771664,5.2485502,827289.7265625,3639.43755733501
45,42101016500,165,1,2023,11.20614152,2.38694277,7.45237966,673228.53515625,3799.97965732691
46,42101020600,206,0,2023,-4.12398604,-0.79985127,-3.10798444,2309274.33984375,6123.43004376201
47,42101001300,13,0,2023,-8.55436745,-2.48323636,-5.3838022,1325227.98046875,4944.65182313082
48,42101001400,14,0,2023,-6.32696474,-2.77156096,-4.00174506,537949.4296875,3411.33241374521
49,42101001500,15,0,2023,-8.60858528,-2.31237044,-5.68063522,407721.23828125,3550.45121685881
50,42101001600,16,0,2023,-12.47495621,-2.95395549,-8.14584427,334461.875,2613.19667091953
51,42101001700,17,0,2023,-12.0739816,-2.67400914,-8.14947144,377247.375,3059.97082380483
52,42101001800,18,0,2023,-8.22806945,-2.67225453,-5.39065542,413018.609375,3598.09768825176
53,42101001900,19,0,2023,-9.833807,-3.12685664,-6.25537452,559207.13671875,3443.02153314813
54,42101002000,20,0,2023,1.66425579,-1.29539323,1.47337343,492808.17578125,2882.53288833786
55,42101002100,21,0,2023,0.50226232,-1.48142859,0.63922385,404494.7578125,2580.85847126334
56,42101002200,22,0,2023,-3.18329765,-1.65846891,-1.76931792,389460.07421875,2518.89479262825
57,42101002300,23,0,2023,-6.8844025,-1.19357932,-4.36277917,361622.2734375,2771.14237965207
58,42101002400,24,0,2023,-7.10761774,-1.38230792,-4.46261617,911770.2734375,4810.55436155404
59,42101034803,348.03,0,2023,-7.83004182,-0.35861868,-5.68446842,2186876.42578125,6444.13059781319
60,42101034702,347.02,0,2023,-7.55848159,-0.59141518,-5.31161108,1715277.59765625,7851.49628689116
61,42101036202,362.02,0,2023,-7.26268997,-0.02255419,-5.1634878,1912946.4921875,7692.27214239644
62,42101003800,38,0,2023,-7.21922072,0.14799749,-4.41885758,1853089.359375,5678.98774971558
63,42101008302,83.02,0,2023,5.88360815,0.83235034,4.33527635,724556.41015625,4138.71176012725
64,42101017602,176.02,1,2023,7.86657702,3.83026485,5.65296057,679736.80078125,4217.96167461408
65,42101001002,10.02,0,2023,-10.42964227,-2.0904977,-7.19923183,803385.4296875,3636.74589019786
66,42101001001,10.01,0,2023,-8.11746497,-1.1670822,-5.63483554,390784.86328125,2942.0811065771
67,42101000402,4.02,0,2023,-7.40431761,-0.85584806,-4.64425806,517424.4375,3547.05489952626
68,42101000401,4.01,0,2023,-4.73594266,-1.87442882,-2.83314834,397807.4609375,2733.4485366791
69,42101012204,122.04,0,2023,2.64432417,1.21246289,1.48796218,1586564.92578125,7693.70591309805
70,42101012203,122.03,0,2023,-1.38069512,-1.01286939,-0.93795401,382401.1328125,3146.22328055286
71,42101013602,136.02,0,2023,-8.7429866,-2.94643461,-5.71924044,400065.50390625,3037.05845139952
72,42101034501,345.01,0,2023,2.03015279,2.78355535,1.11866576,764761.328125,4405.40981718333
73,42101034502,345.02,0,2023,-2.88181996,1.17804905,-2.07154669,1750243.140625,6612.91453166149
74,42101001102,11.02,0,2023,-8.03080815,-4.3500457,-5.44414009,347621.13671875,2400.13942278894
75,42101000902,9.02,0,2023,-4.51080536,-0.75065541,-3.09328461,264276.91796875,2285.45366083681
76,42101000901,9.01,0,2023,-7.29553761,-4.46403735,-4.59719108,179724.00390625,1726.92486455084
77,42101017201,172.01,1,2023,6.26142049,1.19159213,4.57466282,448625.9140625,3333.14348551283
78,42101017202,172.02,1,2023,8.81017458,2.15657226,6.12417509,495704.828125,3134.96838979466
79,42101027401,274.01,0,2023,4.23142419,1.59801972,3.1936553,557996.66796875,4420.70446576442
80,42101020101,201.01,1,2023,7.5203455,1.69746346,5.08683161,825115.44921875,4116.54706381012
81,42101020102,201.02,0,2023,5.18144283,0.29444258,3.86914492,636788.3515625,3460.11557500992
82,42101031101,311.01,0,2023,3.45392363,1.00760157,2.80558145,597196.98828125,3252.58382778243
83,42101031102,311.02,0,2023,2.27985982,-0.54717253,1.89165657,680049.99609375,3855.25579136361
84,42101019502,195.02,0,2023,5.66103864,3.90705775,4.34101113,631817.765625,3722.36934856475
85,42101019501,195.01,1,2023,6.77119038,3.62792157,5.06818721,672001.69921875,3868.21543228085
86,42101028901,289.01,0,2023,3.06091543,1.60355997,2.50985308,1019428.5546875,5797.23557582524
87,42101028902,289.02,0,2023,4.64236344,2.00449695,3.10015333,1323628.17578125,6754.31222079367
88,42101033101,331.01,0,2023,-8.44696377,-1.44882526,-5.56604056,831744.62109375,4031.71953525056
89,42101033102,331.02,0,2023,-4.91510744,-0.4115111,-3.44987343,1262087.48046875,4644.02314057551
90,42101031501,315.01,0,2023,-5.60483356,0.02354857,-3.64443872,1002984.57421875,4231.50777142532
91,42101016600,166,0,2023,2.82311411,0.08649377,1.95462514,445350.54296875,3331.80303677317
92,42101016800,168,1,2023,7.42672488,1.29473197,4.94491413,991501.46484375,4375.75959451503
93,42101003901,39.01,0,2023,-3.66602202,0.09885446,-1.78685826,715618.34375,3609.69562460844
94,42101016902,169.02,1,2023,9.57429375,1.72604257,6.54923542,961568.03125,4067.20933436082
95,42101009400,94,1,2023,9.66567484,1.51102985,6.75932667,624994.62890625,3197.79786487727
96,42101009500,95,1,2023,7.16661207,0.5775904,5.17092072,543807.7578125,3306.35729247452
97,42101009600,96,0,2023,6.04720884,0.99959022,4.32985139,690816.71484375,3398.14701956584
98,42101013800,138,0,2023,4.02653601,-0.25163549,2.68470698,581822.5625,3471.42556034246
99,42101013900,139,0,2023,6.36047599,2.6476701,4.08491594,959714.67578125,4676.78119489706
100,42101014000,140,0,2023,1.6663525,0.18024401,1.20738929,749565.65234375,3464.15424550602
101,42101014100,141,0,2023,6.57597642,2.62702947,4.49338077,958246.6953125,4743.71156698013
102,42101014200,142,0,2023,-11.2844669,-3.45063836,-7.34782204,1711259.12890625,6894.38129192307
103,42101014300,143,0,2023,-7.42209978,-2.96520871,-4.82698688,1410379.953125,6071.94323018246
104,42101014400,144,0,2023,-0.1741944,-0.95942956,0.10305075,1038906.65234375,4315.94853154732
105,42101014500,145,0,2023,6.14987738,0.33762124,4.02905455,548061.77734375,2987.22161897946
106,42101014600,146,0,2023,0.57496728,-1.05634448,0.5199169,758770.125,3621.68530754358
107,42101014700,147,0,2023,-0.44418246,-1.77863245,-0.21318241,575856.828125,3078.46754673068
108,42101014800,148,1,2023,12.45080249,-0.18712626,8.1449934,325910.73046875,2365.76829042227
109,42101014900,149,1,2023,10.36425445,1.8754434,6.9292799,772798.1328125,4444.96756464854
110,42101015200,152,1,2023,9.03177737,0.54474965,5.88843074,1137219.40234375,4764.5460516266
111,42101015300,153,0,2023,-0.00473199,-1.7689768,0.11578412,800105.6328125,3574.20573768298
112,42101015600,156,0,2023,4.64997576,2.50972859,3.13279226,732510.31640625,3525.76535466985
113,42101024300,243,0,2023,4.36075713,-0.68091672,2.63737427,1159199.6875,4444.00181933812
114,42101024400,244,0,2023,5.14905228,0.38257505,3.39047676,719108.640625,3470.05570292303
115,42101024500,245,1,2023,9.98225085,0.94634233,6.42501621,1369869.07421875,6427.93759270228
116,42101024600,246,1,2023,7.14257559,1.01815021,4.58113627,1061163.90625,5627.97731003671
117,42101024700,247,0,2023,5.33471366,0.81770917,3.36539172,1608527.43359375,5454.90209111734
118,42101024800,248,0,2023,4.00386901,0.1628602,2.59541402,545403.73828125,3534.52586508658
119,42101024900,249,1,2023,7.89562211,1.06967593,5.41904008,555655.03515625,3360.26803845507
120,42101025200,252,0,2023,6.22317403,1.01858778,3.91752796,1627057.6875,5070.40280118313
121,42101025300,253,0,2023,3.17034096,-0.67660502,1.8319051,993383.72265625,4286.9384418268
122,42101025400,254,0,2023,1.80034867,-0.79273655,0.88853604,1315614.7890625,4930.11056265957
123,42101025500,255,0,2023,-1.61465579,-1.40841981,-1.6571005,1310273.29296875,5105.06525545009
124,42101025600,256,0,2023,-4.64751202,-0.83203316,-3.85072392,1482193.17578125,5067.14576724594
125,42101028300,283,0,2023,6.42291451,0.35600374,4.44490841,1149210.45703125,4469.55746606832
126,42101028400,284,0,2023,4.55850125,0.79937001,3.25400324,816562.4296875,4252.90326687977
127,42101028500,285,0,2023,5.79270016,1.55862425,4.33666991,471838.0859375,3515.17522352635
128,42101028600,286,0,2023,4.82427688,0.86424491,3.64016009,1227029.92578125,4884.56429961416
129,42101028700,287,0,2023,2.44878049,1.1081796,2.28152959,576148.41015625,3180.58541452496
130,42101980200,9802,0,2023,0.62967548,5.16205097,-0.59510669,9217291.44921875,34837.6763396353
131,42101034400,344,0,2023,-6.55286789,-0.04382143,-4.99675927,5879772.37890625,11508.3490042477
132,42101034600,346,0,2023,-2.49669667,-0.05127715,-1.70593847,3180374.18359375,7224.27123306707
133,42101006400,64,0,2023,3.41675914,0.29892636,2.07764358,1110996.5390625,5213.19991074162
134,42101006500,65,0,2023,5.86298113,0.07110632,3.46478903,1940776.49609375,9302.16137467486
135,42101006600,66,1,2023,10.17698716,1.5015779,6.82149103,1108895.0859375,4449.31074302989
136,42101036301,363.01,0,2023,-6.05339504,0.07948536,-4.16559341,4070232.39453125,9079.0910404888
137,42101036400,364,0,2023,4.17299245,6.10310525,2.21460479,7685279.76953125,14390.7724822067
138,42101036600,366,0,2023,-8.41825679,-2.20286789,-5.74998903,4168056.1796875,12166.4442333733
139,42101030501,305.01,0,2023,2.48864311,0.12762737,2.06606996,644669.87109375,3603.46462035798
140,42101030502,305.02,0,2023,2.68404999,0.50139498,1.85237506,1194245.921875,4837.67671879901
141,42101028800,288,0,2023,5.44371762,2.41256481,4.18299397,774121.83984375,3816.16968173687
142,42101029000,290,0,2023,4.4174485,1.36945007,3.04227399,1433513.76171875,5332.99139080575
143,42101029100,291,1,2023,6.58968302,2.82218052,4.77612569,2267004.48828125,8061.01263223801
144,42101033500,335,0,2023,-0.17659572,0.96480757,0.16544898,1611021.37890625,5676.37931222109
145,42101033600,336,0,2023,-5.07426893,-0.42277805,-3.39337572,1980224.98046875,5515.85702888722
146,42101033800,338,0,2023,-4.68377174,0.19674651,-3.26311024,2393099.15625,6566.85971995106
147,42101033900,339,0,2023,-3.91408207,0.56584359,-3.03022645,1960118.1953125,5945.20541970191
148,42101034000,340,0,2023,-4.87949927,0.75950525,-3.61475994,1303048.625,5199.46680684499
149,42101034100,341,0,2023,-7.54371691,-1.44589209,-5.31871526,2313720.46484375,6115.27467280271
150,42101034200,342,0,2023,-3.16453079,1.71768171,-2.74743848,1653634.296875,6571.57424057115
151,42101016901,169.01,0,2023,6.44502624,0.13402316,4.3998775,874893.74609375,3908.43228184524
152,42101020700,207,0,2023,-8.36221877,-2.64970536,-5.93562653,2586516.6328125,7806.87317246502
153,42101020800,208,0,2023,-3.38681938,-1.60258366,-2.96694374,1505192.203125,7761.80430813551
154,42101020900,209,0,2023,-10.5012246,-2.67349761,-7.28989168,933357.140625,5261.1554388147
155,42101021000,210,0,2023,-8.90730909,-2.1651023,-6.10906104,1548372.08984375,5818.54663062822
156,42101021100,211,0,2023,-8.92474696,-1.39896993,-6.2309986,937304.3359375,4993.59355065163
157,42101021200,212,0,2023,-8.62589788,-1.51331866,-6.1590472,880753.5390625,3822.84770910539
158,42101021300,213,0,2023,-10.22109681,-1.98481718,-7.00832231,920160.16796875,4470.73475225137
159,42101021400,214,0,2023,-9.59072592,-2.99208973,-6.58957145,1123958.52734375,4560.67609531463
160,42101021500,215,0,2023,-11.2111259,-2.28214781,-7.95001958,1773741.8125,7042.29722001619
161,42101021600,216,0,2023,-8.01363014,-2.13879627,-6.06767138,3577751.546875,9376.06362827515
162,42101024100,241,1,2023,9.44555552,3.72948228,6.17502225,696497.640625,3463.7740215425
163,42101024200,242,0,2023,6.07872087,-0.72244302,3.86247921,908497.3515625,3883.46452324414
164,42101004201,42.01,0,2023,-6.01187803,-0.33698218,-3.7052089,615624.484375,3209.41198998041
165,42101007900,79,0,2023,-6.41184143,-2.53368223,-4.28681928,643945.8046875,3440.15879694337
166,42101008000,80,0,2023,3.12739947,-1.05936723,2.33363595,733424.859375,3406.4715801543
167,42101008200,82,0,2023,4.74809351,0.68850287,3.19911036,1438214.671875,4780.98059024168
168,42101017601,176.01,1,2023,10.24000777,4.46384621,7.18890088,991242.1875,4461.47105269937
169,42101008301,83.01,1,2023,7.70030661,2.07474453,5.10387584,881873.0390625,4340.63414377369
170,42101008400,84,0,2023,5.10465616,0.29783097,3.97728947,854982.26171875,3701.49813141015
171,42101008500,85,0,2023,5.86310667,0.93516625,4.42433583,1058875.08203125,4129.12494699977
172,42101009000,90,0,2023,-6.6094646,-2.55654677,-4.43436056,743322.890625,3733.1174094218
173,42101009100,91,0,2023,3.17898048,0.18217011,2.15760116,725224.47265625,3375.60578078992
174,42101009200,92,0,2023,4.47797124,-0.90402976,2.98769394,872537.34765625,3975.32502155077
175,42101009300,93,0,2023,4.99367951,-0.55266034,3.53782131,684354.37890625,3517.50105372757
176,42101006700,67,0,2023,5.23402559,-0.87083234,3.41372228,1706382.08203125,5306.67800618849
177,42101006900,69,1,2023,8.98156156,0.9866651,5.55742973,1382492.59765625,6100.31372719275
178,42101007000,70,0,2023,5.11689537,1.23952882,3.60845026,799708.6484375,3625.23130046285
179,42101007200,72,1,2023,7.52756862,1.36692659,5.17391425,856105.85546875,3947.03763611043
180,42101007300,73,0,2023,2.79728999,-0.19967873,2.06146756,659489.015625,3857.48141154352
181,42101007400,74,0,2023,5.61917493,-0.03322367,3.87516187,1150582.1953125,4609.3493293111
182,42101007700,77,0,2023,-2.03748896,-2.59046509,-1.43586507,548542.171875,3898.60544772224
183,42101007800,78,0,2023,-3.14393964,-2.09519232,-2.1720773,728073.40234375,3615.8437902255
184,42101011500,115,0,2023,0.71188849,-1.30900086,0.53101217,631735.109375,3196.49576541398
185,42101011700,117,0,2023,-3.79168156,-1.8381249,-2.94766608,1117951.2265625,4731.60704640904
186,42101011800,118,0,2023,4.41695081,0.53067949,3.01954,1560700.3046875,7042.46133726008
187,42101011900,119,0,2023,6.03092337,0.11140392,3.94893557,1178591.75390625,5578.06730184994
188,42101012000,120,0,2023,-2.29431601,-1.54763806,-2.01963048,1024355.44140625,4090.56913496656
189,42101012100,121,0,2023,3.35764747,0.7830894,1.73727201,1502547.45703125,5607.91651424459
190,42101012500,125,0,2023,-6.90818475,-2.64001365,-4.59221175,1552850.30078125,6987.08734132355
191,42101013100,131,0,2023,0.50788517,-0.34554995,0.25182253,549181.8671875,2974.72104639686
192,42101013200,132,0,2023,5.68615462,1.71218442,3.78086753,727217.1953125,3428.85742936636
193,42101013300,133,0,2023,-2.79783709,-3.07432538,-1.57147599,610072.26171875,3467.7339596011
194,42101013500,135,0,2023,-6.34228214,-2.09687801,-4.15433836,690216.046875,3555.76844834348
195,42101013700,137,0,2023,2.29314448,-1.92616775,1.71596109,1005421.1796875,4062.70201064666
196,42101017000,170,0,2023,-0.19281842,-0.75953773,-0.17989224,2764059.00390625,7709.55002437568
197,42101017100,171,0,2023,5.71032676,0.44910927,3.79060398,1946094.48046875,6674.44190309329
198,42101029200,292,0,2023,1.52347552,0.68670803,0.6965317,3007188.18359375,10492.4215989976
199,42101029300,293,0,2023,4.45463492,1.39400547,3.26336278,1170180.546875,5462.49732015672
200,42101029400,294,1,2023,7.127228,3.72393719,5.05721919,1105363.72265625,4614.24910215665
201,42101029800,298,0,2023,2.14233856,-0.22284455,1.52665878,1109324.09765625,4526.82753696193
202,42101033300,333,0,2023,-2.0237078,2.14880384,-1.38623476,1780308.28515625,6239.17332830454
203,42101033400,334,0,2023,-0.42381666,2.02185908,-0.03602686,2089784.19921875,6987.49592587382
204,42101000600,6,0,2023,-10.3259091,-4.32954264,-6.59014617,294162.078125,3081.85519718307
205,42101000700,7,0,2023,-7.7236078,-2.72198568,-4.79239943,436441.4765625,4354.05143401093
206,42101003200,32,0,2023,5.01474084,0.91132183,3.64611538,837344.1171875,3661.94559965747
207,42101003300,33,0,2023,3.23822585,0.72305153,2.34574849,1972678.9296875,7025.49415472903
208,42101003600,36,1,2023,7.2313356,2.16048118,5.02174378,1643001.9375,6485.51821515772
209,42101003701,37.01,0,2023,2.15061586,0.00997921,1.94928746,605484.515625,3324.62866269411
210,42101003702,37.02,0,2023,1.72045115,0.72802452,1.69042358,421323.1328125,3093.56860747065
211,42101004101,41.01,1,2023,6.22377134,2.95590763,4.6,636636.875,3206.80181035171
212,42101004002,40.02,0,2023,-5.88119956,0.10869246,-3.32417016,586915.375,3068.18277562284
213,42101003902,39.02,0,2023,-7.45346533,-0.07441019,-4.6506281,772269.5078125,3875.49674486853
214,42101004001,40.01,0,2023,-3.96212407,0.72159735,-2.07256281,536194.51953125,2905.81506736782
215,42101004102,41.02,0,2023,2.89792029,2.36241108,2.31169899,666987.79296875,3280.10917749386
216,42101004202,42.02,0,2023,-2.87621651,1.19532431,-1.5976083,771637.1796875,3556.38138508729
217,42101030700,307,0,2023,-1.63281873,0.03490741,-1.2010623,1123547.8125,4803.74720291825
218,42101030800,308,0,2023,-3.41256512,0.42268401,-2.43926329,1359768.7890625,4844.34959493469
219,42101030900,309,0,2023,0.93129382,0.68936596,0.72747124,1101671.70703125,4846.96888533013
220,42101031000,310,0,2023,-0.30127038,1.2012064,-0.09929078,1816893.2890625,5424.75339449807
221,42101031200,312,0,2023,2.44476551,0.49419949,1.93575128,734108.21484375,4128.18910894321
222,42101031300,313,0,2023,2.25547435,1.85365189,1.76486675,1214693.74609375,4647.28961208434
223,42101031600,316,0,2023,-3.02503984,0.49379454,-1.80532824,1219310.953125,4663.96358422532
224,42101031700,317,0,2023,-1.89858497,-0.32706743,-1.20120269,1505491.9453125,4993.8258321385
225,42101036303,363.03,0,2023,-8.78542091,-0.37911776,-6.4361233,4311648.7890625,10065.8748059555
