the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2021-02-22,293,positive,2023-09-25 15:00:01.711959,54381
,,2023-04-11,616,negative,2023-09-25 15:00:01.711959,54382
,,2020-10-24,4750,negative,2023-09-25 15:00:01.711959,54383
,,2022-11-21,218,positive,2023-09-25 15:00:01.711959,54384
,,2021-07-04,10,positive,2023-09-25 15:00:01.711959,54385
,,2022-07-28,355,positive,2023-09-25 15:00:01.711959,54386
,,2022-03-11,4383,negative,2023-09-25 15:00:01.711959,54387
,,2020-05-29,196,positive,2023-09-25 15:00:01.711959,54388
,,2020-10-05,4303,negative,2023-09-25 15:00:01.711959,54389
,,2021-11-08,10956,negative,2023-09-25 15:00:01.711959,54390
,,2022-11-15,181,positive,2023-09-25 15:00:01.711959,54391
,,2022-07-03,1222,negative,2023-09-25 15:00:01.711959,54392
,,2023-08-14,116,negative,2023-09-25 15:00:01.711959,54393
,,2020-06-21,1476,negative,2023-09-25 15:00:01.711959,54394
,,2021-10-30,119,positive,2023-09-25 15:00:01.711959,54395
,,2022-02-22,7776,negative,2023-09-25 15:00:01.711959,54396
,,2021-01-30,255,positive,2023-09-25 15:00:01.711959,54397
,,2023-07-10,33,positive,2023-09-25 15:00:01.711959,54398
,,2021-05-27,8052,negative,2023-09-25 15:00:01.711959,54399
,,2023-03-03,1035,negative,2023-09-25 15:00:01.711959,54400
,,2020-11-15,5869,negative,2023-09-25 15:00:01.711959,54401
,,2023-01-02,267,positive,2023-09-25 15:00:01.711959,54402
,,2023-05-03,567,negative,2023-09-25 15:00:01.711959,54403
,,2021-04-05,748,positive,2023-09-25 15:00:01.711959,54404
,,2023-02-04,802,negative,2023-09-25 15:00:01.711959,54405
,,2020-12-22,916,positive,2023-09-25 15:00:01.711959,54406
,,2021-05-02,3323,negative,2023-09-25 15:00:01.711959,54407
,,2023-06-03,13,positive,2023-09-25 15:00:01.711959,54408
,,2020-03-30,616,negative,2023-09-25 15:00:01.711959,54409
,,2022-01-15,881,positive,2023-09-25 15:00:01.711959,54410
,,2022-09-18,1019,negative,2023-09-25 15:00:01.711959,54411
,,2023-09-21,85,positive,2023-09-25 15:00:01.711959,54412
,,2022-05-26,471,positive,2023-09-25 15:00:01.711959,54413
,,2020-07-29,174,positive,2023-09-25 15:00:01.711959,54414
,,2021-09-02,6302,negative,2023-09-25 15:00:01.711959,54415
,,2023-06-02,15,positive,2023-09-25 15:00:01.711959,54416
,,2021-05-01,5431,negative,2023-09-25 15:00:01.711959,54417
,,2023-02-05,719,negative,2023-09-25 15:00:01.711959,54418
,,2020-12-23,841,positive,2023-09-25 15:00:01.711959,54419
,,2021-05-09,138,positive,2023-09-25 15:00:01.711959,54420
,,2021-01-16,6807,negative,2023-09-25 15:00:01.711959,54421
,,2023-02-13,212,positive,2023-09-25 15:00:01.711959,54422
,,2023-06-26,74,negative,2023-09-25 15:00:01.711959,54423
,,2021-05-28,6874,negative,2023-09-25 15:00:01.711959,54424
,,2023-07-11,16,positive,2023-09-25 15:00:01.711959,54425
,,2023-03-02,1006,negative,2023-09-25 15:00:01.711959,54426
,,2021-01-29,428,positive,2023-09-25 15:00:01.711959,54427
,,2020-06-08,151,positive,2023-09-25 15:00:01.711959,54428
,,2023-08-07,53,positive,2023-09-25 15:00:01.711959,54429
,,2022-11-08,1797,negative,2023-09-25 15:00:01.711959,54430
,,2022-07-10,255,positive,2023-09-25 15:00:01.711959,54431
,,2022-03-07,71,positive,2023-09-25 15:00:01.711959,54432
,,2021-10-17,2415,negative,2023-09-25 15:00:01.711959,54433
,,2022-03-12,1409,negative,2023-09-25 15:00:01.711959,54434
,,2020-05-28,174,positive,2023-09-25 15:00:01.711959,54435
,,2021-11-07,2224,negative,2023-09-25 15:00:01.711959,54436
,,2022-07-27,445,positive,2023-09-25 15:00:01.711959,54437
,,2020-10-06,5120,negative,2023-09-25 15:00:01.711959,54438
,,2021-07-05,40,positive,2023-09-25 15:00:01.711959,54439
,,2021-06-20,18,positive,2023-09-25 15:00:01.711959,54440
,,2023-03-27,44,positive,2023-09-25 15:00:01.711959,54441
,,2023-07-18,66,negative,2023-09-25 15:00:01.711959,54442
,,2021-02-07,3385,negative,2023-09-25 15:00:01.711959,54443
,,2022-02-14,185,positive,2023-09-25 15:00:01.711959,54444
,,2021-10-06,10625,negative,2023-09-25 15:00:01.711959,54445
,,2020-06-29,153,positive,2023-09-25 15:00:01.711959,54446
,,2022-10-22,1041,negative,2023-09-25 15:00:01.711959,54447
,,2023-08-22,55,positive,2023-09-25 15:00:01.711959,54448
,,2022-06-25,181,positive,2023-09-25 15:00:01.711959,54449
,,2021-12-04,381,positive,2023-09-25 15:00:01.711959,54450
,,2022-04-14,325,positive,2023-09-25 15:00:01.711959,54451
,,2020-09-09,103,positive,2023-09-25 15:00:01.711959,54452
,,2022-08-27,1230,negative,2023-09-25 15:00:01.711959,54453
,,2020-04-21,1115,negative,2023-09-25 15:00:01.711959,54454
,,2021-08-11,4721,negative,2023-09-25 15:00:01.711959,54455
,,2020-04-07,598,positive,2023-09-25 15:00:01.711959,54456
,,2022-09-10,112,positive,2023-09-25 15:00:01.711959,54457
,,2022-05-02,3545,negative,2023-09-25 15:00:01.711959,54458
,,2020-08-22,3304,negative,2023-09-25 15:00:01.711959,54459
,,2021-08-25,378,positive,2023-09-25 15:00:01.711959,54460
,,2021-12-22,12211,negative,2023-09-25 15:00:01.711959,54461
,,2023-01-28,784,negative,2023-09-25 15:00:01.711959,54462
,,2023-06-10,15,positive,2023-09-25 15:00:01.711959,54463
,,2020-12-31,547,positive,2023-09-25 15:00:01.711959,54464
,,2021-04-23,9417,negative,2023-09-25 15:00:01.711959,54465
,,2022-10-17,210,positive,2023-09-25 15:00:01.711959,54466
,,2021-09-25,232,positive,2023-09-25 15:00:01.711959,54467
,,2023-09-18,129,negative,2023-09-25 15:00:01.711959,54468
,,2022-01-24,11664,negative,2023-09-25 15:00:01.711959,54469
,,2022-05-29,1367,negative,2023-09-25 15:00:01.711959,54470
,,2020-07-20,3279,negative,2023-09-25 15:00:01.711959,54471
,,2020-04-30,1356,negative,2023-09-25 15:00:01.711959,54472
,,2021-12-13,792,positive,2023-09-25 15:00:01.711959,54473
,,2022-04-25,298,positive,2023-09-25 15:00:01.711959,54474
,,2020-08-31,233,positive,2023-09-25 15:00:01.711959,54475
,,2022-08-16,1813,negative,2023-09-25 15:00:01.711959,54476
,,2021-08-02,4482,negative,2023-09-25 15:00:01.711959,54477
,,2023-04-15,423,negative,2023-09-25 15:00:01.711959,54478
,,2020-11-05,6667,negative,2023-09-25 15:00:01.711959,54479
,,2021-03-14,210,positive,2023-09-25 15:00:01.711959,54480
,,2022-12-19,263,positive,2023-09-25 15:00:01.711959,54481
,,2023-08-12,39,positive,2023-09-25 15:00:01.711959,54482
,,2022-11-13,1166,negative,2023-09-25 15:00:01.711959,54483
,,2022-07-05,468,positive,2023-09-25 15:00:01.711959,54484
,,2021-10-28,11278,negative,2023-09-25 15:00:01.711959,54485
,,2020-06-19,127,positive,2023-09-25 15:00:01.711959,54486
,,2022-02-24,119,positive,2023-09-25 15:00:01.711959,54487
,,2023-04-04,663,negative,2023-09-25 15:00:01.711959,54488
,,2021-03-03,343,positive,2023-09-25 15:00:01.711959,54489
,,2020-10-15,6380,negative,2023-09-25 15:00:01.711959,54490
,,2022-11-28,277,positive,2023-09-25 15:00:01.711959,54491
,,2022-03-30,3688,negative,2023-09-25 15:00:01.711959,54492
,,2020-09-26,3435,negative,2023-09-25 15:00:01.711959,54493
,,2021-11-17,10955,negative,2023-09-25 15:00:01.711959,54494
,,2021-07-27,154,positive,2023-09-25 15:00:01.711959,54495
,,2022-08-10,322,positive,2023-09-25 15:00:01.711959,54496
,,2020-05-06,368,positive,2023-09-25 15:00:01.711959,54497
,,2021-03-27,4334,negative,2023-09-25 15:00:01.711959,54498
,,2020-11-24,1247,positive,2023-09-25 15:00:01.711959,54499
,,2023-05-14,9,positive,2023-09-25 15:00:01.711959,54500
,,2022-12-22,1401,negative,2023-09-25 15:00:01.711959,54501
,,2021-04-01,5876,negative,2023-09-25 15:00:01.711959,54502
,,2020-11-19,1129,positive,2023-09-25 15:00:01.711959,54503
,,2023-04-29,16,positive,2023-09-25 15:00:01.711959,54504
,,2023-01-06,1176,negative,2023-09-25 15:00:01.711959,54505
,,2022-05-07,1489,negative,2023-09-25 15:00:01.711959,54506
,,2022-01-02,3781,negative,2023-09-25 15:00:01.711959,54507
,,2022-09-05,129,positive,2023-09-25 15:00:01.711959,54508
,,2020-08-11,3494,negative,2023-09-25 15:00:01.711959,54509
,,2021-08-14,250,positive,2023-09-25 15:00:01.711959,54510
,,2020-04-18,258,positive,2023-09-25 15:00:01.711959,54511
,,2021-04-19,633,positive,2023-09-25 15:00:01.711959,54512
,,2023-05-21,90,negative,2023-09-25 15:00:01.711959,54513
,,2020-12-03,8548,negative,2023-09-25 15:00:01.711959,54514
,,2023-01-16,178,positive,2023-09-25 15:00:01.711959,54515
,,2022-02-02,484,positive,2023-09-25 15:00:01.711959,54516
,,2023-09-11,103,positive,2023-09-25 15:00:01.711959,54517
,,2022-11-19,1148,negative,2023-09-25 15:00:01.711959,53833
,,2020-06-17,151,positive,2023-09-25 15:00:01.711959,53834
,,2022-02-26,46,positive,2023-09-25 15:00:01.711959,53835
,,2021-10-26,7998,negative,2023-09-25 15:00:01.711959,53836
,,2023-08-18,73,positive,2023-09-25 15:00:01.711959,53837
,,2022-06-29,381,positive,2023-09-25 15:00:01.711959,53838
,,2023-07-30,24,positive,2023-09-25 15:00:01.711959,53839
,,2023-03-15,956,negative,2023-09-25 15:00:01.711959,53840
,,2021-06-16,3307,negative,2023-09-25 15:00:01.711959,53841
,,2021-02-11,330,positive,2023-09-25 15:00:01.711959,53842
,,2023-03-07,98,positive,2023-09-25 15:00:01.711959,53843
,,2021-01-18,7259,negative,2023-09-25 15:00:01.711959,53844
,,2021-06-08,40,positive,2023-09-25 15:00:01.711959,53845
,,2023-07-06,110,negative,2023-09-25 15:00:01.711959,53846
,,2021-01-03,381,positive,2023-09-25 15:00:01.711959,53847
,,2023-02-16,1157,negative,2023-09-25 15:00:01.711959,53848
,,2021-05-22,3059,negative,2023-09-25 15:00:01.711959,53849
,,2023-06-23,14,positive,2023-09-25 15:00:01.711959,53850
,,2022-09-27,2028,negative,2023-09-25 15:00:01.711959,53851
,,2022-01-04,5785,positive,2023-09-25 15:00:01.711959,53852
,,2022-05-17,625,positive,2023-09-25 15:00:01.711959,53853
,,2020-08-09,75,positive,2023-09-25 15:00:01.711959,53854
,,2021-09-13,10824,negative,2023-09-25 15:00:01.711959,53855
,,2020-03-19,156,negative,2023-09-25 15:00:01.711959,53856
,,2021-08-20,279,positive,2023-09-25 15:00:01.711959,53857
,,2021-12-27,5016,negative,2023-09-25 15:00:01.711959,53858
,,2020-04-12,206,positive,2023-09-25 15:00:01.711959,53859
,,2020-08-17,3086,negative,2023-09-25 15:00:01.711959,53860
,,2022-09-03,147,positive,2023-09-25 15:00:01.711959,53861
,,2022-05-09,3659,negative,2023-09-25 15:00:01.711959,53862
,,2020-12-27,3883,negative,2023-09-25 15:00:01.711959,53863
,,2023-06-14,118,negative,2023-09-25 15:00:01.711959,53864
,,2023-01-24,292,positive,2023-09-25 15:00:01.711959,53865
,,2021-04-27,483,positive,2023-09-25 15:00:01.711959,53866
,,2022-01-27,527,positive,2023-09-25 15:00:01.711959,53867
,,2022-05-30,170,positive,2023-09-25 15:00:01.711959,53868
,,2020-07-17,175,positive,2023-09-25 15:00:01.711959,53869
,,2021-09-22,12207,negative,2023-09-25 15:00:01.711959,53870
,,2023-09-17,70,positive,2023-09-25 15:00:01.711959,53871
,,2022-10-16,1001,negative,2023-09-25 15:00:01.711959,53872
,,2020-03-10,20,negative,2023-09-25 15:00:01.711959,53873
,,2021-12-02,580,positive,2023-09-25 15:00:01.711959,53874
,,2022-08-05,1830,negative,2023-09-25 15:00:01.711959,53875
,,2020-05-21,2279,negative,2023-09-25 15:00:01.711959,53876
,,2020-09-11,132,positive,2023-09-25 15:00:01.711959,53877
,,2021-07-12,3616,negative,2023-09-25 15:00:01.711959,53878
,,2022-04-04,244,positive,2023-09-25 15:00:01.711959,53879
,,2022-07-22,337,positive,2023-09-25 15:00:01.711959,53880
,,2020-09-29,4403,negative,2023-09-25 15:00:01.711959,53881
,,2021-11-14,2273,negative,2023-09-25 15:00:01.711959,53882
,,2022-03-17,3471,negative,2023-09-25 15:00:01.711959,53883
,,2021-06-28,24,positive,2023-09-25 15:00:01.711959,53884
,,2020-06-04,118,positive,2023-09-25 15:00:01.711959,53885
,,2023-03-23,927,negative,2023-09-25 15:00:01.711959,53886
,,2021-06-24,3289,negative,2023-09-25 15:00:01.711959,53887
,,2021-02-03,474,positive,2023-09-25 15:00:01.711959,53888
,,2023-07-22,24,positive,2023-09-25 15:00:01.711959,53889
,,2022-06-28,1793,negative,2023-09-25 15:00:01.711959,53890
,,2021-10-05,389,positive,2023-09-25 15:00:01.711959,53891
,,2020-06-28,2083,negative,2023-09-25 15:00:01.711959,53892
,,2022-02-15,7987,negative,2023-09-25 15:00:01.711959,53893
,,2022-10-19,185,positive,2023-09-25 15:00:01.711959,53894
,,2023-08-19,94,negative,2023-09-25 15:00:01.711959,53895
,,2022-03-26,53,positive,2023-09-25 15:00:01.711959,53896
,,2021-07-23,3271,negative,2023-09-25 15:00:01.711959,53897
,,2022-08-14,1173,negative,2023-09-25 15:00:01.711959,53898
,,2021-11-21,186,positive,2023-09-25 15:00:01.711959,53899
,,2020-05-10,898,negative,2023-09-25 15:00:01.711959,53900
,,2020-09-22,109,positive,2023-09-25 15:00:01.711959,53901
,,2023-05-11,447,negative,2023-09-25 15:00:01.711959,53902
,,2022-12-25,96,positive,2023-09-25 15:00:01.711959,53903
,,2021-03-28,390,positive,2023-09-25 15:00:01.711959,53904
,,2020-11-23,7649,negative,2023-09-25 15:00:01.711959,53905
,,2020-07-27,157,positive,2023-09-25 15:00:01.711959,53906
,,2020-04-01,995,negative,2023-09-25 15:00:01.711959,53907
,,2022-01-17,1471,positive,2023-09-25 15:00:01.711959,53908
,,2021-08-31,7993,negative,2023-09-25 15:00:01.711959,53909
,,2022-05-20,426,positive,2023-09-25 15:00:01.711959,53910
,,2022-09-24,1102,negative,2023-09-25 15:00:01.711959,53911
,,2023-01-13,208,positive,2023-09-25 15:00:01.711959,53912
,,2020-12-12,6126,negative,2023-09-25 15:00:01.711959,53913
,,2021-04-10,489,positive,2023-09-25 15:00:01.711959,53914
,,2023-05-24,130,negative,2023-09-25 15:00:01.711959,53915
,,2020-05-04,465,positive,2023-09-25 15:00:01.711959,53916
,,2021-12-17,10983,negative,2023-09-25 15:00:01.711959,53917
,,2020-08-27,3533,negative,2023-09-25 15:00:01.711959,53918
,,2022-08-20,203,positive,2023-09-25 15:00:01.711959,53919
,,2021-07-29,225,positive,2023-09-25 15:00:01.711959,53920
